,0,1,2,0_syllables,1_syllables,2_syllables,label
234,hard winter ground -,we argue about,the constellations,4,5,5,winter
235,road accident,a crowd of teddies stares out,from the shop window,4,7,5,window
238,autumn breakfast,the last mosquito's hover,over my campfire,4,7,6,autumn
240,waiting for winter---,eating rice balls,under a full moon,5,4,5,winter
240,waiting for winter---,eating rice balls,under a full moon,5,4,5,moon
246,morning troubles,it starts with a dead cricket,in the spider web,4,7,5,morning
247,cotton fields*,the only white left,is the snow,3,5,3,snow
249,grassy moon,we slip off our shoes,to count the stars,3,5,4,moon
249,grassy moon,we slip off our shoes,to count the stars,3,6,4,moon
250,the fish lazily surface,in the pond nearby ~,the sun on my teacup,7,5,6,sun
251,Parting the fog,blue nose of the ferry,homeward bound,4,6,3,fog
252,Autumn sky,many layers of clouds,pile of leaves,3,6,3,sky
253,Autumn sky,shades of pink and purple,field of pumkins,3,6,4,sky
261,afternoon lull,the traffic island,crowded with pigeons,4,5,5,afternoon
262,bike tail lights,a lingering smell,of perfume,3,4,3,smell
262,bike tail lights,a lingering smell,of perfume,3,5,3,smell
263,quiet lane,after the jasmine,smell of fried onions,3,5,5,smell
265,summer's end-,a cool rain slides,down the hollyhocks,3,4,5,summer
265,summer's end-,a cool rain slides,down the hollyhocks,3,4,5,rain
266,summer's end,my hand lingers,in the dry grass,3,4,4,summer
266,summer's end,my hand lingers,in the dry grass,3,4,4,end
266,summer's end,my hand lingers,in the dry grass,3,4,4,grass
270,acorn falls,the sound of rain,continues,3,4,3,sound
270,acorn falls,the sound of rain,continues,3,4,3,rain
271,First day of autumn,splash of a spawning salmon,another cycle begins,5,7,7,day
271,First day of autumn,splash of a spawning salmon,another cycle begins,5,7,7,autumn
272,Last day of September,bay and islands in fog,aroma of coffee,6,6,6,day
272,Last day of September,bay and islands in fog,aroma of coffee,6,6,6,fog
273,First day of October,the morning sun in my eyes,clank of the furnace,6,7,5,day
273,First day of October,the morning sun in my eyes,clank of the furnace,6,7,5,morning
273,First day of October,the morning sun in my eyes,clank of the furnace,6,7,5,sun
274,A fine mist,covers the tall cedars,foggy glasses,3,6,4,mist
277,morning camp,only an ember remains,but it's enough,3,7,4,morning
279,rush hour ~,closing the car window,on my hair,3,6,3,window
282,warmed-over coffee--,the gray gray sound,of winter rain,3,4,4,sound
282,warmed-over coffee--,the gray gray sound,of winter rain,3,4,4,winter
282,warmed-over coffee--,the gray gray sound,of winter rain,3,4,4,rain
284,sparrow song--,two ladies on the verandah,just before the rain,3,8,5,song
284,sparrow song--,two ladies on the verandah,just before the rain,3,8,5,rain
286,summer's end-,one haiku becomes,another,3,5,3,summer
288,sudden rain,cows crowd the entrance,to the hotel,3,5,4,rain
290,Over the bay,August full moon rises,as days shorten,4,6,4,moon
292,lingering day --,I study the moss,in a park bench,3,5,4,day
292,lingering day --,I study the moss,in a park bench,4,5,4,day
294,summer's end,an orange sunset,crayoned on the wall,3,5,5,summer
294,summer's end,an orange sunset,crayoned on the wall,3,5,5,end
294,summer's end,an orange sunset,crayoned on the wall,3,5,5,sunset
296,Wild fires rage,scent of cedar,fills the air,3,4,3,scent
296,Wild fires rage,scent of cedar,fills the air,4,4,3,scent
297,children dancing,circles in the rain-,autumn leaves,4,5,3,autumn
298,falling leaves-,unpacking winter clothes,from cedar trunks,3,6,4,winter
299,starless night--,Las Vegas spills,over the desert,3,4,5,night
299,starless night--,Las Vegas spills,over the desert,3,6,5,night
300,garden embrace,the fresh smell of her,sun dried laundry,4,5,4,garden
300,garden embrace,the fresh smell of her,sun dried laundry,4,5,4,smell
300,garden embrace,the fresh smell of her,sun dried laundry,4,5,4,sun
301,kitchen embrace,the smell of her hot,apple pie,4,5,3,smell
303,fallen tree,the poor woman's axe,gleams brightly,3,5,3,tree
305,unkempt garden,a hibiscus blooms,amongst the weeds,4,5,4,garden
309,Twin Towers-,where once two shadows,now only sun,3,5,4,sun
314,rainy New York,from the tenth storey window,black umbrellas bloom,4,7,5,window
316,summer wind,the blue jay's reflection,in the birdbath,3,6,4,summer
316,summer wind,the blue jay's reflection,in the birdbath,3,6,4,wind
321,end of the drought --,a mushroom tilts,under the spruce,4,4,4,end
323,lifting fog,the face of an old friend,on my morning walk,3,6,5,fog
323,lifting fog,the face of an old friend,on my morning walk,3,6,5,morning
328,after the long wait . . .,  two unattended dove eggs,      in summer rain,5,7,4,summer
328,after the long wait . . .,  two unattended dove eggs,      in summer rain,5,7,4,rain
329,walking to work -,the blossoms on my street,late this year,4,6,3,year
330,morning mist--,a canada goose,asleep on the dock,3,5,5,morning
330,morning mist--,a canada goose,asleep on the dock,3,5,5,mist
331,summer solstice,he remembers,to lift the sea,4,4,4,summer
334,Reading a book,a sudden brightness,the full moon,4,5,3,moon
335,Falling leaves,I already miss you,This winter,3,6,3,winter
336,storm warnings . . .,sunday afternoon by the fire,mail from an old friend,3,8,5,storm
336,storm warnings . . .,sunday afternoon by the fire,mail from an old friend,3,8,5,afternoon
336,storm warnings . . .,sunday afternoon by the fire,mail from an old friend,3,9,5,storm
336,storm warnings . . .,sunday afternoon by the fire,mail from an old friend,3,9,5,afternoon
337,Shivering,in the cold spring air.,  Plum blossoms!,3,5,3,spring
337,Shivering,in the cold spring air.,  Plum blossoms!,3,6,3,spring
342,On a grey day,a spot of colour,his red hair,4,5,3,day
343,3:00 a.m.--,through sounds of winter rain,the mail plane landing,4,6,5,winter
343,3:00 a.m.--,through sounds of winter rain,the mail plane landing,4,6,5,rain
344,no wind tonight,across this reach of prairie,all those stars,4,7,3,wind
345,a dry new year,december snowman begins,to show his age,4,7,4,year
348,sunshine and snow,the boys in the reserves,watch the letterbox,4,6,5,snow
349,rumors of war --,removing decorations,from the Christmas tree,4,7,5,tree
351,stars at dusk,a spray of willow buds,by the gate,3,6,3,dusk
352,untrodden snow --,my breath clouds the way,into the trees,4,5,4,snow
352,untrodden snow --,my breath clouds the way,into the trees,4,5,4,way
353,crescent moon --,I follow the trail of,a dragged Christmas tree,3,6,5,moon
353,crescent moon --,I follow the trail of,a dragged Christmas tree,3,6,5,tree
357,home again,even the ants,seem familiar,3,4,4,home
359,obituary,a child's face,smiles from the page,5,3,4,child
360,new year's day . . .,     spent bottle-rockets,           in the road,3,3,3,year
360,new year's day . . .,     spent bottle-rockets,           in the road,3,3,3,day
366,fly fishing;,the sound of the wind,in the reel,3,5,3,sound
366,fly fishing;,the sound of the wind,in the reel,3,5,3,wind
367,mountain cave --,from out of darkness,the morning light,3,5,4,morning
367,mountain cave --,from out of darkness,the morning light,3,5,4,light
370,fresh autumn breeze,or the advance of age?,forgotten tea...,4,6,4,autumn
370,fresh autumn breeze,or the advance of age?,forgotten tea...,4,6,4,breeze
370,fresh autumn breeze,or the advance of age?,forgotten tea...,4,6,4,tea
371,60 today,the full moon,still rising,4,3,3,moon
372,desert garden,frosted lettuce leaves,in the pink dawn,4,5,4,garden
372,desert garden,frosted lettuce leaves,in the pink dawn,4,5,4,dawn
373,Passover darkness -,before the buds burst open;,a child's eyes in death.,5,7,5,child
374,misty morning,echoes of blue jay cries,through the pines,4,6,3,morning
375,farmer's market,she paints a flower,on a child's cheek,4,5,4,child
376,montana morning,the horses with their backs,to blowing snow,5,6,4,morning
376,montana morning,the horses with their backs,to blowing snow,5,6,4,snow
377,street light sway ~,dreams of her linger,with the storm,3,5,3,storm
378,tandem bicycle,wind in our hair,a shared laugh,5,4,3,wind
378,tandem bicycle,wind in our hair,a shared laugh,5,5,3,wind
380,dry haystack,flames climb higher,against the night sky,3,4,5,night
380,dry haystack,flames climb higher,against the night sky,3,4,5,sky
381,spring breeze,blowing dandelions,in circles,3,6,3,spring
381,spring breeze,blowing dandelions,in circles,3,6,3,breeze
385,chilled by spring winds,schoolgirls sniffing body spray,behind the gym,4,7,4,spring
385,chilled by spring winds,schoolgirls sniffing body spray,behind the gym,5,7,4,spring
389,a lost child,in a ward of iron lungs,her daffodils,3,7,4,child
392,august wind,on the dock seagulls,stand on two legs,3,5,4,wind
393,strong winter wind,bits of Batman kite wings,fall from the tree,4,6,4,winter
393,strong winter wind,bits of Batman kite wings,fall from the tree,4,6,4,wind
393,strong winter wind,bits of Batman kite wings,fall from the tree,4,6,4,tree
395,a skein of birds,twines across the sky,the northbound train departs,4,5,6,sky
396,dawn chorus begins,I reach for,the snooze button,5,3,4,dawn
397,late rising moon,fireflies decorate,the tamarind tree,4,6,5,moon
397,late rising moon,fireflies decorate,the tamarind tree,4,6,5,tree
404,leftover summer grass,... horses browse,through crusted snow,6,3,4,summer
404,leftover summer grass,... horses browse,through crusted snow,6,3,4,grass
404,leftover summer grass,... horses browse,through crusted snow,6,3,4,snow
411,egret stands,"in the blue rice field,",dusk creeps in,3,5,3,dusk
413,white clouds drift,"in the August sky,",a child dreams,3,5,3,sky
413,white clouds drift,"in the August sky,",a child dreams,3,5,3,child
418,rainy day--,they give me back,my shoelaces,3,4,4,day
420,fragile morning--,a blue psilocybin in the middle,of the garden,4,10,4,morning
420,fragile morning--,a blue psilocybin in the middle,of the garden,4,10,4,garden
421,Talking with you,now this morning somehow,scent of plumeria,4,6,6,morning
421,Talking with you,now this morning somehow,scent of plumeria,4,6,6,scent
423,First day of Autumn,even your touch feels,somewhat cooler,5,5,4,day
424,At last some sunshine,blue Pacifc this morning,boiling tea water,5,6,5,morning
424,At last some sunshine,blue Pacifc this morning,boiling tea water,5,6,5,tea
424,At last some sunshine,blue Pacifc this morning,boiling tea water,5,6,5,water
425,In the room,white lillies in the vase,scent of pepper,3,6,4,scent
426,Light-studded ferry,passes in the starless night,another week-end,3,7,4,night
428,A tunnel of fog,connects the two islands,warmth of my duvet,5,6,5,fog
429,October morning,a new pair of new wool socks,on my very cold feet,5,7,6,morning
431,All my lights off,to watch the rising,of the Harvest moon,4,5,5,moon
433,Federal Express,reaches me through the fog,plumeria lei,4,6,5,fog
433,Federal Express,reaches me through the fog,plumeria lei,5,6,5,fog
434,Midnight and full moon,my neighbour asks to borrow,the vacum cleaner,5,7,5,moon
435,The blue iris,colour changing hue,soft Summer rain,4,5,4,rain
437,moldy odors,in the nursing home,dying elders,4,5,4,home
439,smell of newsprint,twenty beauty queens,with one smile,4,5,3,smell
440,gust of wind,a womans face lights up,by the cooking fire,3,6,5,wind
440,gust of wind,a womans face lights up,by the cooking fire,3,6,6,wind
445,cool morning,a fog of insecticide,in the red truck's wake,3,7,5,morning
445,cool morning,a fog of insecticide,in the red truck's wake,3,7,5,fog
449,petrol fumes,smell of fresh bread,from the bakery,3,4,5,smell
454,sultry afternoon,little mirages,above the tar,5,5,4,afternoon
456,smoky moon,a cloud of insects around,the street light,3,7,3,moon
456,smoky moon,a cloud of insects around,the street light,3,7,3,light
460,tree less corners,the tall shadows,of beer bottles,4,4,4,tree
462,biopsy,just a cyst - this time,a break in the clouds,3,5,5,time
464,troubled sleep --,steam rises,from a storm sewer,3,3,5,storm
472,forty-six years,writing my name,yellow in snow,3,4,4,snow
477,wood flute music,through an open window,the crow's rasp,4,6,3,window
480,"from the armoire,",scent of passion in a candle,yet to be burned,4,8,4,scent
482,a new year's bonfire,misty rain,on the embers,6,3,4,year
482,a new year's bonfire,misty rain,on the embers,6,3,4,rain
490,inhaling spring -,her new breast,two months old,4,3,3,spring
490,inhaling spring -,her new breast,two months old,5,3,3,spring
492,morning rush,he finds a half red kiss,on his coffee cup,3,6,5,morning
496,Day of the Oscars-,in the Spring sun,I plant onions...,5,4,4,spring
496,Day of the Oscars-,in the Spring sun,I plant onions...,5,4,4,sun
496,Day of the Oscars-,in the Spring sun,I plant onions...,5,5,4,spring
496,Day of the Oscars-,in the Spring sun,I plant onions...,5,5,4,sun
497,yellow walnut leaves,slowly appear on the lawn--,early morning light,5,7,5,morning
497,yellow walnut leaves,slowly appear on the lawn--,early morning light,5,7,5,light
498,morning commute-,headlights fade,in the whiteout,4,3,4,morning
503,harvest moon,i gather my thoughts,for winter,3,5,3,moon
503,harvest moon,i gather my thoughts,for winter,3,5,3,winter
506,late summer,graffiti overgrown,with ivy,3,6,3,summer
509,cool morning--,at the top of the rise,deer pass in the fog,3,6,5,morning
509,cool morning--,at the top of the rise,deer pass in the fog,3,6,5,fog
511,Sentinels of spring...,kites bobbing for attention,in saucy March winds,5,7,5,spring
511,Sentinels of spring...,kites bobbing for attention,in saucy March winds,6,7,5,spring
518,old manor house,each empty room has,its own echo,4,5,4,house
521,between the yoga,and chi gung classes --,scent of burning sage,5,5,5,scent
522,a few yellow leaves --,the construction site grows,towards my favorite tree,5,6,5,tree
522,a few yellow leaves --,the construction site grows,towards my favorite tree,5,6,6,tree
522,a few yellow leaves --,the construction site grows,towards my favorite tree,5,6,7,tree
524,week of rain --,the insect's trail,on the flattened leaf,3,4,5,rain
524,week of rain --,the insect's trail,on the flattened leaf,3,4,5,leaf
526,a white night --,salmon bones,curled against a log,3,3,5,night
528,approaching winter --,I leave the seashell,at the bottom of my purse,5,5,7,winter
529,morning haze --,ice drifts around,the river stones,3,4,4,morning
529,morning haze --,ice drifts around,the river stones,3,4,4,river
532,a bright morning --,the mud pulls away,from a frosty stone,4,5,5,morning
535,a cold morning --,goose honks echo,off the pavement,4,4,4,morning
538,the courtship songs,of so many birds --,wind through my shirt,4,5,4,wind
539,spring currents --,the first gulls,picking bones,3,3,3,spring
539,spring currents --,the first gulls,picking bones,4,3,3,spring
540,scent of new leaves --,a caterpillar swings,in a shaft of light,4,6,5,scent
540,scent of new leaves --,a caterpillar swings,in a shaft of light,4,6,5,light
542,daylight moon --,the shadows of bubbles,under the ice,3,6,4,moon
544,after the rain --,a frog-shaped shadow,wavers in the puddle,4,4,6,rain
544,after the rain --,a frog-shaped shadow,wavers in the puddle,4,4,6,shadow
550,the puddled field --,blades of grass,pierce a cloud,4,3,3,grass
551,summer dust --,a caterpillar under,the whale bone arch,3,7,4,summer
553,fog patches --,a second little face,in the sonogram,3,6,5,fog
554,a winged ant,crawls on hot asphalt --,end of summer,3,5,4,end
554,a winged ant,crawls on hot asphalt --,end of summer,3,5,4,summer
555,working Saturday --,the small shadows of pigeons,in the fog,5,7,3,fog
556,night of meteors --,the first Christmas lights,go up on the block,5,5,5,night
557,scent of rain --,a whale-shaped cloud,hangs over the bay,3,3,5,scent
557,scent of rain --,a whale-shaped cloud,hangs over the bay,3,3,5,rain
558,between memories,and the parents' grave,the curtain of rain,5,5,5,rain
561,foggy glasses . . .,   a blurry paragraph,       above the bath water,4,6,6,water
563,late afternoon ,a wind chime softly sings,in snowy garden,4,6,5,afternoon
563,late afternoon ,a wind chime softly sings,in snowy garden,4,6,5,wind
563,late afternoon ,a wind chime softly sings,in snowy garden,4,6,5,garden
566,first crowing,breaks my sleep --,year of Rooster,3,3,4,year
567,traffic jam,melting snow runs,on the windshield,3,4,4,snow
568,Japanese New Year,how small the new moon,in its halo,5,5,4,year
568,Japanese New Year,how small the new moon,in its halo,5,5,4,moon
569,covered by snow,like the other stones,little Buddha,4,5,4,snow
570,rivulets,on a foggy window,the cancer's spread,3,6,4,window
572,rainy night---,her phone number,in my wallet,3,4,4,night
573,his shadow,passes me by---,the charcoal seller,3,4,5,shadow
576,garden wedding --,under the cherry blossoms,the bride's blush deepens,4,7,5,garden
579,mid April,the grass finally,looks like grass,3,5,3,grass
579,mid April,the grass finally,looks like grass,3,5,3,grass
585,spring day,two hawks circle below,the contrails,3,6,3,spring
585,spring day,two hawks circle below,the contrails,3,6,3,day
587,spring rain,cars slowly leave,the cemetery,3,4,5,spring
587,spring rain,cars slowly leave,the cemetery,3,4,5,rain
589,campfire coffee. . .,condor wings glean,the first rays of sun,5,4,5,sun
590,seed catalogues,in the mail daily--,morning snow fluries,4,5,5,morning
590,seed catalogues,in the mail daily--,morning snow fluries,4,5,5,snow
592,new March snow,the grouse with a missing toe,still around,3,7,3,snow
595,summer twilight,push mowers stop,for crickets,4,4,3,summer
600,blinding snow,man and dog tracks,run together,3,4,4,snow
600,blinding snow,man and dog tracks,run together,3,4,4,dog
602,night stillness,a new mail,in the inbox,3,3,4,night
603,Valentine's Day,a red rose,stuck in the snow,4,3,4,snow
606,I light on again,the candle on her grave,extuinguished by wind,5,6,5,wind
607,under floating clouds,the cherry blossom snow --,in the same direction,5,6,6,snow
608,Valentine's Day --,awakened by a kiss,from the dog,4,6,3,dog
610,In the space-between,trees and mist,a white buffalo,3,3,5,mist
612,an ancient path,in a sky without time,departing geese,4,6,4,sky
612,an ancient path,in a sky without time,departing geese,4,6,4,time
614,Saturday night,the sound of weeping,seeps from the wall,4,5,4,night
614,Saturday night,the sound of weeping,seeps from the wall,4,5,4,sound
615,warm rain on the pond,my thoughts rise,with the koi,5,3,3,rain
616,to the headstone,old footsteps frozen,in old snow,4,5,3,snow
623,I wake beside,my daughter's sick bed,a howling dog,4,5,4,dog
625,that long-ago kiss--,and still Orion strides,the winter sky,3,6,4,winter
625,that long-ago kiss--,and still Orion strides,the winter sky,3,6,4,sky
628,"the farmer,",planting corn under,a pregnant moon,3,5,4,moon
629,a fly beats,against the window --,melting snow,3,5,3,window
629,a fly beats,against the window --,melting snow,3,5,3,snow
630,a soda can,shot full of holes --,spring sun,4,4,3,spring
630,a soda can,shot full of holes --,spring sun,4,4,3,sun
631,Easter morning --,I head out into,trackless snow,4,5,3,morning
631,Easter morning --,I head out into,trackless snow,4,5,3,snow
632,first pussy willows --,the sound of a woodpecker,shifts again,5,7,3,sound
634,spring frost --,a tower light pierces,the sunset,3,7,3,spring
634,spring frost --,a tower light pierces,the sunset,3,7,3,light
634,spring frost --,a tower light pierces,the sunset,3,7,3,sunset
635,spring in the air --,my walking stick pierces,crusted snow,4,7,3,spring
635,spring in the air --,my walking stick pierces,crusted snow,4,7,3,snow
635,spring in the air --,my walking stick pierces,crusted snow,5,7,3,spring
635,spring in the air --,my walking stick pierces,crusted snow,5,7,3,snow
641,december,a long shadow,joins another,3,4,4,shadow
642,end of path,snowflakes melting,on the pond,3,4,3,end
643,late winter -,opening the saijiki,to early spring,3,7,4,winter
643,late winter -,opening the saijiki,to early spring,3,7,4,spring
643,late winter -,opening the saijiki,to early spring,3,7,5,winter
643,late winter -,opening the saijiki,to early spring,3,7,5,spring
644,drunk on the beach-,the moon in my sake cup,disappears,4,6,3,moon
